author_did,has_mentions_in_bio,has_mentions_in_first_post,has_url_in_bio,has_url_in_first_post
did:plc:2ebajo4qvx4bdkfjdfimsvpd,False,False,False,False
did:plc:2ebbaz3lkshivbwo2kvd6zic,False,False,False,False
did:plc:2ecumfvt54kiepru4leansvz,False,False,False,False
did:plc:2egpzsea27fru2vkrjgdw2ob,False,False,False,False
did:plc:2eig2xysigprljv3jrma46ds,False,False,False,False
did:plc:2eigtrigpin6c4lvxnwm662v,True,True,False,False
did:plc:2ejucnn2h2dj4gvw723qtino,False,False,False,False
did:plc:2ekcaxbwc22pevj46i6ozmbb,False,False,False,False
did:plc:2emupgm6taztttxwrjk4qk22,False,False,False,False
did:plc:2eo5xascoc7cxz3sufw2mto7,False,False,False,False
did:plc:2ep45ahhoqmzevftpx2mbped,True,False,False,False
did:plc:2es3prsu7fzowxjjpsotpahu,False,False,False,False
did:plc:2ev4lw3jzkcye5sfodpej3k2,False,False,False,False
did:plc:2ewqr66opcpwigvxfztagluj,False,False,False,False
did:plc:2exezlemm7twdz6exawryqjg,False,False,False,False
did:plc:2f3yvdniilhlk4jtdtnwsisz,False,False,False,False
did:plc:2f5uhtd72uli7v75amtwrua4,False,False,False,False
did:plc:2f6vb3pusi3gvhaewoxr463o,False,False,False,False
did:plc:2f77s57no7boiqd66ya3equx,False,False,False,False
did:plc:2faxi4qcbh4wuhigrlns2bxz,False,False,False,False
did:plc:2fcdiszbtsxwz7s53fqiy7oj,False,False,False,False
did:plc:2fcfkr6dbmqhnfkndvam2db5,True,False,False,False
did:plc:2fcmwst77fmtidu62kpdxncm,False,False,False,False
did:plc:2ffkm7utpewljjxbzyrsoky4,False,False,False,False
did:plc:2fhi7k73dwh44ea3y7rvjtpj,False,False,False,False
did:plc:2figu3iwt3jjzcb2f33jcwdm,False,False,False,False
did:plc:2fjqnbz6f3r5jeu6zdncglgc,True,False,False,False
did:plc:2fn64rwc3kzxlaeiltjzdjj5,False,False,False,False
did:plc:2fnu2fhdv2t23ag3522o4mnq,False,False,False,False
did:plc:2fnxdla7n5rd767v6w5qch3k,True,False,False,False
did:plc:2fquv22z5wlr6bn4wnsadw7g,,False,,False
did:plc:2frfgggsnf23nn6kdpsaaluw,False,False,False,False
did:plc:2fv7vfwq3fislgoysnxvstj2,False,False,False,False
did:plc:2fxlvgpnb3xjmhphskxucphy,False,False,False,False
did:plc:2fxr2xppkn6ffu5qfhfqcrlw,True,False,False,False
did:plc:2fyhyuk72aq6rsna7jamtnl3,False,False,False,False
did:plc:2fzh6k2cbgyyeqkdwxeuejzh,False,False,False,False
