author_did,kmeans_cluster,dbscan_cluster
did:plc:2d6z3pbvksrb5glnbc7ox24g,0,0
did:plc:2dbm7qrywg5a45ahoxxxgt3y,0,0
did:plc:2dbqil6b5dc23k6fbt5hzbvf,0,0
did:plc:2dee56aaet7vovikmvg7tx7l,0,0
did:plc:2dfwcbfvefgfn4x6heklp4lw,0,0
did:plc:2dglqb36vpzq63qr5djxub6f,0,0
did:plc:2dhz6usj4q3j42queo3boqab,0,0
did:plc:2dkq5nvvpthhe3fwv3d3zadm,0,0
did:plc:2dkylysujjn6ztf65jlzb4pa,0,0
did:plc:2dnsjmvm6serdkemrncn2y4s,0,0
did:plc:2drd2ddaswwbe467zs3t7opd,0,0
did:plc:2dtchg7uilzb7pymdmhebk3r,0,-1
did:plc:2duhlaw5ae4tc6apcpsux3vp,0,0
did:plc:2dvcxog5z5vkps6l2rekxmh3,0,0
did:plc:2dygdwg524w6essk4afwntcm,0,0
did:plc:2dzbu6r2g3gqcrcio6yy546k,0,0
did:plc:2e2a23ufvf6tdh6g673ch66v,0,-1
did:plc:2e2igdiqytlrcdpohsr76a6t,0,0
did:plc:2e2pkvv6z4scfpb4jplf462d,0,0
did:plc:2e36fkcog23oze66lhxj6gh2,0,0
did:plc:2e4uu3pyroyd3ny5mcpanps2,0,0
did:plc:2e5h43mo6jxggl5lwbndd7re,0,0
did:plc:2e5xxcj5ds6bslaudz7h5upl,0,0
did:plc:2e7rlttewce4vno4uudlzv7m,0,0
did:plc:2eatrhvx7asqudxl5wgkoswg,0,0
did:plc:2ebajo4qvx4bdkfjdfimsvpd,0,0
did:plc:2ebbaz3lkshivbwo2kvd6zic,0,0
did:plc:2ecumfvt54kiepru4leansvz,0,0
did:plc:2egpzsea27fru2vkrjgdw2ob,0,0
did:plc:2eig2xysigprljv3jrma46ds,0,0
did:plc:2eigtrigpin6c4lvxnwm662v,0,0
did:plc:2ejucnn2h2dj4gvw723qtino,0,0
did:plc:2ekcaxbwc22pevj46i6ozmbb,0,0
did:plc:2emupgm6taztttxwrjk4qk22,0,0
did:plc:2eo5xascoc7cxz3sufw2mto7,0,0
did:plc:2ep45ahhoqmzevftpx2mbped,0,0
did:plc:2es3prsu7fzowxjjpsotpahu,0,0
did:plc:2ev4lw3jzkcye5sfodpej3k2,0,0
did:plc:2ewqr66opcpwigvxfztagluj,0,0
did:plc:2exezlemm7twdz6exawryqjg,0,0
did:plc:2f3yvdniilhlk4jtdtnwsisz,0,0
did:plc:2f5uhtd72uli7v75amtwrua4,0,0
did:plc:2f6vb3pusi3gvhaewoxr463o,0,-1
did:plc:2f77s57no7boiqd66ya3equx,0,0
did:plc:2faxi4qcbh4wuhigrlns2bxz,0,0
did:plc:2fcdiszbtsxwz7s53fqiy7oj,0,0
did:plc:2fcfkr6dbmqhnfkndvam2db5,0,0
did:plc:2fcmwst77fmtidu62kpdxncm,0,0
did:plc:2ffkm7utpewljjxbzyrsoky4,0,0
did:plc:2fhi7k73dwh44ea3y7rvjtpj,0,0
did:plc:2figu3iwt3jjzcb2f33jcwdm,0,0
did:plc:2fjqnbz6f3r5jeu6zdncglgc,0,0
did:plc:2fn64rwc3kzxlaeiltjzdjj5,0,0
did:plc:2fnu2fhdv2t23ag3522o4mnq,0,0
did:plc:2fnxdla7n5rd767v6w5qch3k,0,0
did:plc:2fquv22z5wlr6bn4wnsadw7g,0,0
did:plc:2frfgggsnf23nn6kdpsaaluw,0,0
did:plc:2fv7vfwq3fislgoysnxvstj2,0,0
did:plc:2fxlvgpnb3xjmhphskxucphy,0,0
did:plc:2fxr2xppkn6ffu5qfhfqcrlw,0,0
did:plc:2fyhyuk72aq6rsna7jamtnl3,0,0
did:plc:2fzh6k2cbgyyeqkdwxeuejzh,0,0
did:plc:2g2fxcjjlbr56ox3gxolvzc5,0,0
did:plc:2g2h7zq2xjzl7eys24qjo57k,0,0
did:plc:2g2pqg6iicibsstev575zj54,0,0
did:plc:2g3jgo4oowyxot4dez24x42x,0,0
did:plc:2g4y7zwkqqoaqcs2zfxhjbot,0,0
did:plc:2g576xeadd3fsdopipd26qh4,0,0
did:plc:2g6cb64m4zsrmdfrssy5j3sf,0,0
did:plc:2g6hbauafr272cetrxqgeerz,0,0
did:plc:2g7efshzig6qn7dygnsmmdf5,0,0
